SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KABRAEXTRU,EQ,31,31,30.6,30.85,30.6,30.9,351,10846.9,05-SEP-2012,11,INE900B01029,
KAJARIACER,EQ,168.55,174.9,168.5,169.95,170,174.35,12437,2118434.7,05-SEP-2012,250,INE217B01028,
KAKATCEM,EQ,87,89,87,87,87,85.85,1507,131180.8,05-SEP-2012,30,INE437B01014,
KALECONSUL,BE,154,161,154,160.05,159.5,158.45,3429,544837.3,05-SEP-2012,56,INE793A01012,
KALINDEE,EQ,66.1,66.75,65.25,65.65,65.85,66.45,37069,2446755.75,05-SEP-2012,1056,INE178D01010,
KALPATPOWR,EQ,65.9,66.05,64.8,64.95,64.8,66.2,57563,3761309.8,05-SEP-2012,894,INE220B01022,
KALYANIFRG,BE,165.25,165.25,165.25,165.25,165.25,170,16,2644,05-SEP-2012,1,INE314G01014,
KAMATHOTEL,EQ,121.95,122,120.75,120.8,120.8,121.3,1133,137101.2,05-SEP-2012,9,INE967C01018,
KANANIIND,EQ,107.45,107.5,100.7,104.9,104.9,106,1391,148139.9,05-SEP-2012,8,INE879E01029,
KANDAGIRI,EQ,57,57,57,57,57,59.8,15,855,05-SEP-2012,3,INE292D01019,
KANORICHEM,EQ,35.55,36.35,35.55,35.9,36,35.6,18409,660748.8,05-SEP-2012,123,INE138C01024,
KANSAINER,EQ,900,900,883.15,885.55,895.8,888.85,3374,3018697.95,05-SEP-2012,62,INE531A01016,
KARMAENG,EQ,11,11,11,11,11,10.6,530,5830,05-SEP-2012,1,INE725L01011,
KARURVYSYA,EQ,395,400,393,395.3,395,398.45,19684,7809226.3,05-SEP-2012,938,INE036D01010,
KAUSHALYA,EQ,7.95,8.25,7.95,7.95,7.95,8.05,2716,21755.95,05-SEP-2012,18,INE234I01010,
KAVVERITEL,EQ,223.4,224.9,208.1,215.5,211.3,220.65,76607,16591567.65,05-SEP-2012,2246,INE641C01019,
KBIL,EQ,810,810,801.1,801.1,801.1,803.8,101,81801.1,05-SEP-2012,3,INE920K01010,
KCP,EQ,31.15,32.4,31.1,32.3,32.25,31.15,553869,17724209.95,05-SEP-2012,226,INE805C01028,
KCPSUGIND,EQ,18.9,19,18.65,18.85,18.85,18.85,21997,415847.55,05-SEP-2012,88,INE790B01024,
KEC,EQ,54.9,55.55,53.6,53.9,53.85,55.2,71654,3895440.8,05-SEP-2012,682,INE389H01022,
KECL,EQ,24.8,26.4,20.8,24.5,24.5,25.25,22309,539419.35,05-SEP-2012,155,INE134B01017,
KEI,EQ,16.9,16.9,16,16.3,16.3,16,39870,648363.85,05-SEP-2012,258,INE878B01027,
KEMROCK,EQ,99,99,99,99,99,104.2,2914,288486,05-SEP-2012,62,INE990B01012,
KERNEX,EQ,46.2,47.7,46.2,46.75,46.9,46.9,14076,660951.85,05-SEP-2012,202,INE202H01019,
KESARENT,EQ,46.6,47.5,46.5,47.5,47.5,45.5,111,5174.35,05-SEP-2012,110,INE133B01019,
KESORAMIND,EQ,140.4,142.3,136.25,136.8,136.5,142.8,9815,1362964.5,05-SEP-2012,379,INE087A01019,
KFA,EQ,9.65,9.95,9.3,9.45,9.45,9.55,28998630,280606282.6,05-SEP-2012,41728,INE438H01019,
KGL,EQ,3.6,3.7,3.6,3.65,3.7,3.65,295236,1082090.95,05-SEP-2012,205,INE299C01024,
KHAITANELE,EQ,61.25,61.25,57.05,58,58,61,103,5995.9,05-SEP-2012,28,INE761A01019,
KHANDSE,EQ,19.55,19.55,19.55,19.55,19.55,19,50,977.5,05-SEP-2012,1,INE060B01014,
KICL,EQ,341.25,345,339,342.4,339,346,157,53599.05,05-SEP-2012,92,INE029L01018,
KIL,EQ,15,15.6,15,15.6,15.6,15.05,550,8280,05-SEP-2012,2,INE390H01012,
KILITCH,EQ,86,90.5,85.1,86.8,87.05,85.7,330459,29141771.95,05-SEP-2012,4512,INE729D01010,
KINETICMOT,EQ,8.3,8.85,8.3,8.4,8.4,8.5,8558,72660.65,05-SEP-2012,79,INE267B01015,
KIRIINDUS,EQ,21.65,22.2,20.6,20.95,21,21.65,9751,206213.6,05-SEP-2012,109,INE415I01015,
KIRLOSBROS,EQ,130.05,132.9,129.75,131,131,131.9,791,103226.25,05-SEP-2012,59,INE732A01036,
KIRLOSENG,EQ,153.5,153.75,153.5,153.75,153.75,154,2451,376785,05-SEP-2012,17,INE146L01010,
KIRLOSIND,EQ,304.9,304.9,300,302,302,300.05,145,43605.75,05-SEP-2012,14,INE250A01039,
KITPLYIND,EQ,2.8,2.9,2.75,2.8,2.75,2.9,1863,5212,05-SEP-2012,16,INE147B01019,
KKCL,EQ,605,619,601.25,615.5,619,615.85,349,213343.65,05-SEP-2012,124,INE401H01017,
