SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KLGSYSTEL,EQ,5.95,6,5.95,6,6,6.25,1285,7701,26-JUL-2013,11,INE799A01019,
KMSUGAR,EQ,1.2,1.2,1.2,1.2,1.2,1.2,600,720,26-JUL-2013,1,INE157H01023,
KNRCON,EQ,85.95,86.05,85.95,86.05,86.05,84.9,1028,88439.4,26-JUL-2013,8,INE634I01011,
KOHINOOR,EQ,37.1,38.95,36.6,37.15,36.8,37.75,35640,1334305.05,26-JUL-2013,448,INE080B01012,
KOKUYOCMLN,EQ,29.15,29.85,29.15,29.4,29.4,29.95,10248,301643.8,26-JUL-2013,74,INE760A01029,
KOLTEPATIL,EQ,75.15,76.4,66.55,70.25,71.65,76.1,153463,10813718.85,26-JUL-2013,2185,INE094I01018,
KOPRAN,EQ,13.7,14.2,13.6,13.7,13.6,13.6,11730,161459.35,26-JUL-2013,78,INE082A01010,
KOTAKBANK,EQ,693.8,695,667.5,679.95,685.1,685.15,915309,622942600.95,26-JUL-2013,18055,INE237A01028,
KOTAKGOLD,EQ,2601,2603,2576,2582.1,2583,2563.8,3188,8259886.55,26-JUL-2013,488,INF373I01015,
KOTAKNIFTY,EQ,604.5,605,599,601,601,603.65,5340,3205731.3,26-JUL-2013,37,INF174K01518,
KOTAKPSUBK,EQ,264,264,255,259.12,262.55,262,2353,606591.77,26-JUL-2013,62,INF373I01023,
KOTARISUG,EQ,6.6,7.1,6.6,7.1,7.1,7.1,3902,27599.15,26-JUL-2013,28,INE419A01022,
